Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1422,Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,25,1999,0.2,0,1,1,100,4.29,4.29,0,0,36.4,0,0,0,0,0,0.02,0,0
1423,Gianluca Mancini,ITA,DF,Roma,Serie A,28,1996,20.4,1,12,3,25,0.59,0.15,0.08,0.33,12.1,0,0,0,1,1,0.08,0,0
1424,Steve Mandanda,FRA,GK,Rennes,Ligue 1,39,1985,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,31,1994,7.7,0,1,1,100,0.13,0.13,0,0,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
1426,Aïssa Mandi,ALG,DF,Lille,Ligue 1,33,1991,12.4,0,4,1,25,0.32,0.08,0,0,9.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
1427,Rolando Mandragora,ITA,MF,Fiorentina,Serie A,27,1997,6.6,0,11,5,45.5,1.66,0.76,0,0,25.2,1,0,0,0.5,0.5,0.04,-0.5,-0.5
1428,Orel Mangala,BEL,MF,Everton,Premier League,26,1998,14,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1
1429,Orel Mangala,BEL,MF,Lyon,Ligue 1,26,1998,0.7,0,1,0,0,1.34,0,0,0,21.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
1430,Ryan Manning,IRL,DF,Southampton,Premier League,28,1996,8.5,0,3,0,0,0.35,0,0,0,16.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
1431,Javier Manquillo,ESP,DF,Celta Vigo,La Liga,30,1994,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432,Johan Manzambi,SUI,"MF,FW",Freiburg,Bundesliga,19,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433,Alberto Manzoni,ITA,MF,Atalanta,Serie A,19,2005,0.1,0,1,0,0,15,0,0,0,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
1434,Sekou Mara,FRA,"FW,MF",Strasbourg,Ligue 1,22,2002,6.8,1,15,3,20,2.21,0.44,0.07,0.33,16.3,0,0,0,1.1,1.1,0.07,-0.1,-0.1
1435,Alessandro Marcandalli,ITA,DF,Genoa,Serie A,22,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,Marcão,BRA,DF,Sevilla,La Liga,28,1996,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1437,Solly March,ENG,"MF,DF",Brighton,Premier League,30,1994,0.3,0,1,0,0,3.6,0,0,0,18.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
1438,Filip Marchwiński,POL,MF,Lecce,Serie A,23,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,Óscar de Marcos,ESP,DF,Athletic Club,La Liga,35,1989,11.5,0,3,0,0,0.26,0,0,0,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
1440,Alberto Marí,ESP,FW,Valencia,La Liga,23,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,Pablo Marí,ESP,DF,Monza,Serie A,31,1993,18.1,0,2,0,0,0.11,0,0,0,9.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
1442,José María Giménez,URU,DF,Atlético Madrid,La Liga,30,1995,13.9,0,4,1,25,0.29,0.07,0,0,9.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3
1443,Luca Marianucci,ITA,"DF,MF",Empoli,Serie A,20,2004,0.7,0,1,1,100,1.48,1.48,0,0,34.2,0,0,0,0,0,0.02,0,0
1444,Mirko Marić,CRO,"FW,MF",Monza,Serie A,29,1995,1.1,0,1,0,0,0.93,0,0,0,16,0,0,0,0.2,0.2,0.18,-0.2,-0.2
1445,Pablo Marín,ESP,MF,Real Sociedad,La Liga,21,2003,1.2,0,1,0,0,0.87,0,0,0,28.4,0,0,0,0,0,0.01,0,0
1446,Răzvan Marin,ROU,MF,Cagliari,Serie A,28,1996,11.8,3,15,5,33.3,1.27,0.42,0.07,0.2,24.4,1,2,2,2.2,0.6,0.04,0.8,0.4
1447,Guillermo Maripán,CHI,DF,Torino,Serie A,30,1994,10,0,5,2,40,0.5,0.2,0,0,11.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3
1448,Mika Màrmol,ESP,DF,Las Palmas,La Liga,22,2002,12.7,0,6,0,0,0.47,0,0,0,17.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
1449,Omar Marmoush,EGY,FW,Manchester City,Premier League,25,1999,0.8,0,2,0,0,2.47,0,0,0,23.7,1,0,0,0.1,0.1,0.07,-0.1,-0.1
1450,Omar Marmoush,EGY,FW,Eint Frankfurt,Bundesliga,25,1999,16.1,15,75,34,45.3,4.66,2.11,0.17,0.38,18.1,6,2,2,8.8,7.3,0.1,6.2,5.7
1451,Mario Maroto,ESP,MF,Valladolid,La Liga,21,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,Marquinhos,BRA,DF,Paris S-G,Ligue 1,30,1994,11.3,0,5,1,20,0.44,0.09,0,0,12.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4
1453,Aarón Martín,ESP,DF,Genoa,Serie A,27,1997,20.2,0,11,3,27.3,0.55,0.15,0,0,24.3,3,0,0,0.5,0.5,0.05,-0.5,-0.5
1454,Carlos Martín,ESP,"FW,MF",Alavés,La Liga,22,2002,7.8,2,14,6,42.9,1.81,0.77,0.14,0.33,14.4,0,0,0,1.7,1.7,0.13,0.3,0.3
1455,Gerard Martín,ESP,DF,Barcelona,La Liga,23,2002,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,Iván Martín,ESP,MF,Girona,La Liga,25,1999,14,1,5,1,20,0.36,0.07,0.2,1,19.2,0,0,0,0.9,0.9,0.19,0.1,0.1
1457,Jon Martin,ESP,DF,Real Sociedad,La Liga,19,2006,1.5,0,3,0,0,2,0,0,0,11.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
1458,Jonas Martin,FRA,MF,Brest,Ligue 1,34,1990,5.1,1,2,1,50,0.39,0.2,0.5,1,4.8,0,0,0,0.3,0.3,0.17,0.7,0.7
1459,Mario Martín,ESP,MF,Valladolid,La Liga,20,2004,12.2,0,13,6,46.2,1.06,0.49,0,0,25.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4
1460,Gabriel Martinelli,BRA,"FW,MF",Arsenal,Premier League,23,2001,15.2,6,26,13,50,1.71,0.86,0.23,0.46,12.5,0,0,0,3.9,3.9,0.15,2.1,2.1
1461,Arnau Martinez,ESP,"DF,MF",Girona,La Liga,21,2003,15.9,2,12,3,25,0.76,0.19,0.17,0.67,15.4,0,0,0,1,1,0.08,1,1
1462,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,32,1992,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,Iñigo Martínez,ESP,DF,Barcelona,La Liga,33,1991,17.8,0,9,2,22.2,0.51,0.11,0,0,15,0,0,0,0.3,0.3,0.04,-0.3,-0.3
1464,Javi Martínez,ESP,MF,Osasuna,La Liga,25,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465,Lautaro Martínez,ARG,FW,Inter,Serie A,27,1997,17.1,9,59,25,42.4,3.45,1.46,0.15,0.36,14,0,0,0,8.1,8.1,0.14,0.9,0.9
1466,Lisandro Martínez,ARG,DF,Manchester Utd,Premier League,27,1998,18.6,2,15,6,40,0.81,0.32,0.13,0.33,16.1,0,0,0,1.2,1.2,0.08,0.8,0.8
1467,Lucas Martínez Quarta,ARG,DF,Fiorentina,Serie A,28,1996,3.9,1,3,1,33.3,0.77,0.26,0.33,1,12.7,0,0,0,0.7,0.7,0.24,0.3,0.3
1468,Toni Martínez,ESP,FW,Alavés,La Liga,27,1997,6.1,3,26,9,34.6,4.29,1.48,0.12,0.33,18.5,0,0,0,1.6,1.6,0.06,1.4,1.4
1469,Kevin Martins,ITA,"MF,DF",Monza,Serie A,20,2005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470,Javi Martón,ESP,"FW,MF",Athletic Club,La Liga,25,1999,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471,Adam Marušić,MNE,DF,Lazio,Serie A,32,1992,12.8,2,10,5,50,0.78,0.39,0.2,0.4,15.7,0,0,0,0.7,0.7,0.07,1.3,1.3
1472,Marvin,ESP,"DF,FW",Las Palmas,La Liga,24,2000,6,0,1,0,0,0.17,0,0,0,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
1473,Omar Mascarell,EQG,MF,Mallorca,La Liga,31,1993,11.9,0,3,1,33.3,0.25,0.08,0,0,19.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
1474,Adam Masina,MAR,DF,Torino,Serie A,31,1994,16,1,5,2,40,0.31,0.13,0.2,0.5,14.5,0,0,0,0.2,0.2,0.05,0.8,0.8
1475,Patrizio Masini,ITA,MF,Genoa,Serie A,24,2001,3.3,1,3,1,33.3,0.9,0.3,0.33,1,13.2,0,0,0,0.3,0.3,0.09,0.7,0.7
1476,Erhan Mašović,SRB,DF,Bochum,Bundesliga,26,1998,7.4,0,6,3,50,0.81,0.4,0,0,11.4,0,0,0,0.5,0.5,0.09,-0.5,-0.5
1477,Han-Noah Massengo,FRA,MF,Auxerre,Ligue 1,23,2001,2.3,0,2,1,50,0.87,0.44,0,0,14.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
1478,Clinton Mata,ANG,DF,Lyon,Ligue 1,32,1992,15.1,0,4,0,0,0.27,0,0,0,18.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
1479,Jaime Mata,ESP,FW,Las Palmas,La Liga,36,1988,4.5,0,9,3,33.3,2,0.67,0,0,12,0,0,0,1.8,1.8,0.21,-1.8,-1.8
1480,Igor Matanovic,CRO,FW,Eint Frankfurt,Bundesliga,21,2003,3.4,1,12,4,33.3,3.56,1.19,0.08,0.25,14.1,0,0,0,1.1,1.1,0.1,-0.1,-0.1
1481,Pape Matar Sarr,SEN,MF,Tottenham,Premier League,22,2002,13.7,1,21,10,47.6,1.53,0.73,0.05,0.1,22.9,0,0,0,2.2,2.2,0.1,-1.2,-1.2
1482,Eliot Matazo,BEL,MF,Monaco,Ligue 1,22,2002,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,27,1997,19.7,8,43,15,34.9,2.18,0.76,0.14,0.4,15.8,0,2,2,7.8,6.2,0.15,0.2,-0.2
1484,Nemanja Matić,SRB,MF,Lyon,Ligue 1,36,1988,13.1,0,1,1,100,0.08,0.08,0,0,5.9,0,0,0,0,0,0.04,0,0
1485,Chrislain Matsima,FRA,DF,Augsburg,Bundesliga,22,2002,13.3,1,7,1,14.3,0.52,0.07,0.14,1,10.9,0,0,0,1,1,0.15,0,0
1486,Jean Mattéo Bahoya,FRA,"MF,DF",Eint Frankfurt,Bundesliga,19,2005,2.5,0,3,1,33.3,1.22,0.41,0,0,16.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2
1487,Alan Matturro,URU,DF,Genoa,Serie A,20,2004,7.2,0,3,3,100,0.41,0.41,0,0,16.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
1488,Azor Matusiwa,NED,MF,Rennes,Ligue 1,26,1998,16.2,0,5,0,0,0.31,0,0,0,24.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
1489,Neal Maupay,FRA,FW,Marseille,Ligue 1,28,1996,9.3,3,15,7,46.7,1.61,0.75,0.2,0.43,9.9,0,0,0,3.3,3.3,0.22,-0.3,-0.3
1490,Maurides,BRA,FW,St. Pauli,Bundesliga,30,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491,Stephy Mavididi,ENG,FW,Leicester City,Premier League,26,1998,14.2,3,19,6,31.6,1.34,0.42,0.16,0.5,14.4,1,0,0,1.5,1.5,0.08,1.5,1.5
1492,Konstantinos Mavropanos,GRE,DF,West Ham,Premier League,27,1997,15.4,0,12,2,16.7,0.78,0.13,0,0,15.6,0,0,0,0.9,0.9,0.07,-0.9,-0.9
1493,Christian Mawissa,FRA,DF,Monaco,Ligue 1,19,2005,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,Keke Maximilian Topp,GER,"FW,MF",Werder Bremen,Bundesliga,20,2004,2.2,1,4,3,75,1.86,1.39,0.25,0.33,9.7,0,0,0,0.7,0.7,0.19,0.3,0.3
1495,Borja Mayoral,ESP,FW,Getafe,La Liga,27,1997,2.1,2,6,3,50,2.9,1.45,0.17,0.33,17.8,0,1,1,1.5,0.7,0.12,0.5,0.3
1496,Senny Mayulu,FRA,MF,Paris S-G,Ligue 1,18,2006,3.1,1,14,5,35.7,4.45,1.59,0.07,0.2,15.4,0,0,0,2,2,0.15,-1,-1
1497,Noussair Mazraoui,MAR,DF,Manchester Utd,Premier League,27,1997,19.6,0,9,2,22.2,0.46,0.1,0,0,20.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4
1498,Luca Mazzitelli,ITA,MF,Como,Serie A,29,1995,3.7,1,7,3,42.9,1.88,0.81,0.14,0.33,17.5,0,0,0,0.2,0.2,0.03,0.8,0.8
1499,Pasquale Mazzocchi,ITA,"DF,FW",Napoli,Serie A,29,1995,4.7,0,2,1,50,0.43,0.21,0,0,14.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
1500,Samuel Mbangula,BEL,FW,Juventus,Serie A,21,2004,6.9,3,7,4,57.1,1.02,0.58,0.43,0.75,20.2,0,0,0,0.4,0.4,0.06,2.6,2.6
1501,Ethan Mbappé,FRA,"MF,FW",Lille,Ligue 1,18,2006,0.9,0,4,2,50,4.39,2.2,0,0,16.7,0,0,0,0.7,0.7,0.18,-0.7,-0.7
1502,Kylian Mbappé,FRA,FW,Real Madrid,La Liga,26,1998,18.2,15,80,39,48.8,4.4,2.14,0.13,0.26,16.8,1,5,6,14.6,9.9,0.12,0.4,0.1
1503,Ibrahim Mbaye,FRA,"FW,MF",Paris S-G,Ligue 1,17,2008,1,0,2,2,100,2.07,2.07,0,0,12.1,0,0,0,0.3,0.3,0.13,-0.3,-0.3
1504,Bryan Mbeumo,CMR,FW,Brentford,Premier League,25,1999,22.9,14,41,22,53.7,1.79,0.96,0.24,0.45,17.7,3,4,4,7.7,4.5,0.11,6.3,5.5
1505,James Mcatee,ENG,"MF,FW",Manchester City,Premier League,22,2002,0.8,1,4,1,25,5.14,1.29,0.25,1,14.6,0,0,0,0.8,0.8,0.2,0.2,0.2
1506,Kasey McAteer,IRL,"FW,MF",Leicester City,Premier League,23,2001,4.3,0,6,2,33.3,1.4,0.47,0,0,15.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6
1507,Oliver McBurnie,SCO,FW,Las Palmas,La Liga,28,1996,8.4,0,11,4,36.4,1.31,0.48,0,0,12.8,0,0,0,1,1,0.09,-1,-1
1508,Alex McCarthy,ENG,GK,Southampton,Premier League,35,1989,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1509,John McGinn,SCO,"FW,MF",Aston Villa,Premier League,30,1994,14.1,0,19,2,10.5,1.34,0.14,0,0,16.6,0,0,0,1.8,1.8,0.1,-1.8,-1.8
1510,Scott McKenna,SCO,DF,Las Palmas,La Liga,28,1996,16.1,0,5,0,0,0.31,0,0,0,10.6,0,0,0,0.8,0.8,0.15,-0.8,-0.8
1511,Weston McKennie,USA,"MF,DF",Juventus,Serie A,26,1998,11.7,2,8,5,62.5,0.69,0.43,0.25,0.4,14.7,0,0,0,1.2,1.2,0.15,0.8,0.8
1512,Mark McKenzie,USA,DF,Toulouse,Ligue 1,25,1999,16.7,0,3,0,0,0.18,0,0,0,11.7,0,0,0,0.4,0.4,0.13,-0.4,-0.4
1513,Dwight McNeil,ENG,"MF,FW",Everton,Premier League,25,1999,12.7,3,23,8,34.8,1.82,0.63,0.13,0.38,22,0,0,0,0.9,0.9,0.04,2.1,2.1
1514,Scott McTominay,SCO,MF,Manchester Utd,Premier League,28,1996,0.2,0,1,0,0,4.74,0,0,0,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
1515,Scott McTominay,SCO,MF,Napoli,Serie A,28,1996,17.9,5,37,11,29.7,2.06,0.61,0.14,0.45,15.5,0,0,0,3.7,3.7,0.1,1.3,1.3
1516,Jakov Medić,CRO,DF,Bochum,Bundesliga,26,1998,11.9,0,7,1,14.3,0.59,0.08,0,0,16.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
1517,Facundo Medina,ARG,"DF,MF",Lens,Ligue 1,25,1999,17.6,0,18,3,16.7,1.02,0.17,0,0,19.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1
1518,Ben Mee,ENG,DF,Brentford,Premier League,35,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,Jayden Meghoma,ENG,DF,Brentford,Premier League,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,Henrik Meister,DEN,FW,Rennes,Ligue 1,21,2003,0.7,1,2,1,50,2.86,1.43,0.5,1,17.4,0,0,0,0.1,0.1,0.03,0.9,0.9
1521,Bamo Meïté,CIV,"DF,MF",Marseille,Ligue 1,23,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,Mohamed Meité,FRA,"FW,DF",Rennes,Ligue 1,17,2007,0.2,0,1,1,100,4.5,4.5,0,0,6.2,0,0,0,0.2,0.2,0.22,-0.2,-0.2
1523,Mateo Mejía,ESP,FW,Sevilla,La Liga,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1524,Farid El Melali,ALG,FW,Angers,Ligue 1,27,1997,13.5,1,27,9,33.3,1.99,0.66,0.04,0.11,23.4,5,0,0,1.8,1.8,0.07,-0.8,-0.8
1525,Filippo Melegoni,ITA,"MF,FW",Genoa,Serie A,25,1999,1,0,1,0,0,1.01,0,0,0,21.4,0,0,0,0,0,0.04,0,0
1526,Nuno Mendes,POR,DF,Paris S-G,Ligue 1,22,2002,10,0,9,6,66.7,0.9,0.6,0,0,18.6,0,0,0,0.9,0.9,0.1,-0.9,-0.9
1527,Brais Méndez,ESP,MF,Real Sociedad,La Liga,28,1997,13.3,2,21,7,33.3,1.58,0.53,0.1,0.29,19.5,4,0,0,2.4,2.4,0.12,-0.4,-0.4
1528,Antoine Mendy,FRA,DF,Nice,Ligue 1,20,2004,6,0,4,1,25,0.67,0.17,0,0,9.8,0,0,0,0.4,0.4,0.11,-0.4,-0.4
1529,Ferland Mendy,FRA,DF,Real Madrid,La Liga,29,1995,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,Nampalys Mendy,SEN,MF,Lens,Ligue 1,32,1992,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,Gideon Mensah,GHA,DF,Auxerre,Ligue 1,26,1998,13.3,0,3,1,33.3,0.23,0.08,0,0,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
1532,Alex Meret,ITA,GK,Napoli,Serie A,27,1997,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,Mikel Merino,ESP,MF,Arsenal,Premier League,28,1996,8.4,2,16,6,37.5,1.89,0.71,0.13,0.33,12.8,0,0,0,2.2,2.2,0.13,-0.2,-0.2
1534,Quentin Merlin,FRA,"DF,MF",Marseille,Ligue 1,22,2002,9.1,1,11,5,45.5,1.21,0.55,0.09,0.2,18.1,0,0,0,0.7,0.7,0.06,0.3,0.3
1535,Víctor Meseguer,ESP,MF,Valladolid,La Liga,25,1999,4.6,0,6,0,0,1.29,0,0,0,19.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7
1536,Rafik Messali,FRA,"DF,MF",Toulouse,Ligue 1,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,Junior Messias,BRA,"MF,FW",Genoa,Serie A,33,1991,3.4,1,9,3,33.3,2.61,0.87,0.11,0.33,18.4,0,0,1,1.9,1,0.11,-0.9,0
1538,Connor Metcalfe,AUS,MF,St. Pauli,Bundesliga,25,1999,2.5,0,3,2,66.7,1.19,0.79,0,0,21.6,0,0,0,0.4,0.4,0.12,-0.4,-0.4
1539,Karol Mets,EST,DF,St. Pauli,Bundesliga,31,1993,10,0,3,0,0,0.3,0,0,0,14.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
1540,Thomas Meunier,BEL,DF,Lille,Ligue 1,33,1991,9.1,1,17,6,35.3,1.87,0.66,0.06,0.17,16,0,0,0,1.2,1.2,0.07,-0.2,-0.2
1541,Alexander Meyer,GER,GK,Dortmund,Bundesliga,33,1991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,Lucas Michal,FRA,"FW,MF",Monaco,Ligue 1,19,2005,0.7,0,2,1,50,2.73,1.36,0,0,13.2,0,0,0,0.2,0.2,0.1,-0.2,-0.2
1543,Florian Micheler,AUT,MF,Hoffenheim,Bundesliga,19,2005,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544,Miguel,ESP,FW,Leganés,La Liga,25,1999,15.2,1,25,12,48,1.65,0.79,0,0,15.9,0,1,2,4,2.4,0.1,-3,-2.4
1545,Valentin Mihaila,ROU,"FW,MF",Parma,Serie A,24,2000,14.3,0,31,11,35.5,2.17,0.77,0,0,22.1,5,0,0,2.4,2.4,0.08,-2.4,-2.4
1546,Georges Mikautadze,GEO,FW,Lyon,Ligue 1,24,2000,8.1,4,27,11,40.7,3.34,1.36,0.11,0.27,13.8,0,1,2,5.1,3.4,0.13,-1.1,-0.4
1547,Igor Miladinović,SRB,"FW,MF",Saint-Étienne,Ligue 1,21,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,Nikola Milenković,SRB,DF,Nott'ham Forest,Premier League,27,1997,22,2,22,5,22.7,1,0.23,0.09,0.4,12.4,0,0,0,3.1,3.1,0.14,-1.1,-1.1
1549,Lewis Miley,ENG,MF,Newcastle Utd,Premier League,18,2006,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,Vanja Milinković-Savić,SRB,GK,Torino,Serie A,27,1997,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,Éder Militão,BRA,DF,Real Madrid,La Liga,27,1998,10.4,1,10,3,30,0.96,0.29,0.1,0.33,17.3,0,0,0,0.6,0.6,0.06,0.4,0.4
1552,Luis Milla,ESP,MF,Getafe,La Liga,30,1994,20.7,1,24,3,12.5,1.16,0.14,0,0,26.3,3,1,1,1.5,0.7,0.03,-0.5,-0.7
1553,Pere Milla,ESP,"MF,FW",Espanyol,La Liga,32,1992,2.5,0,5,2,40,1.98,0.79,0,0,15,1,0,0,0.2,0.2,0.05,-0.2,-0.2
1554,Enzo Millot,FRA,"MF,FW",Stuttgart,Bundesliga,22,2002,12.9,4,34,13,38.2,2.63,1,0.12,0.31,16.9,0,0,1,6.3,5.4,0.16,-2.3,-1.4
1555,James Milner,ENG,MF,Brighton,Premier League,39,1986,1.9,0,2,0,0,1.07,0,0,0,16,0,0,0,0.2,0.2,0.08,-0.2,-0.2
1556,Kim Min-jae,KOR,DF,Bayern Munich,Bundesliga,28,1996,17.3,2,5,4,80,0.29,0.23,0.4,0.5,5.7,0,0,0,1.3,1.3,0.26,0.7,0.7
1557,Yerry Mina,COL,DF,Cagliari,Serie A,30,1994,16.1,0,19,4,21.1,1.18,0.25,0,0,10.4,0,0,0,1.5,1.5,0.08,-1.5,-1.5
1558,Takumi Minamino,JPN,"MF,FW",Monaco,Ligue 1,30,1995,12.5,1,30,9,30,2.39,0.72,0.03,0.11,15.6,0,0,0,4.3,4.3,0.14,-3.3,-3.3
1559,Lucas Mincarelli,FRA,DF,Montpellier,Ligue 1,21,2004,2.8,0,1,1,100,0.36,0.36,0,0,33.2,0,0,0,0,0,0.01,0,0
1560,Tyrone Mings,ENG,DF,Aston Villa,Premier League,31,1993,5.2,0,3,0,0,0.58,0,0,0,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
1561,Óscar Mingueza,ESP,"MF,DF",Celta Vigo,La Liga,25,1999,16.6,2,16,4,25,0.96,0.24,0.13,0.5,24.1,6,0,0,0.7,0.7,0.04,1.3,1.3
1562,Kim Minsu,KOR,"MF,FW",Girona,La Liga,19,2006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,Yankuba Minteh,GAM,"FW,MF",Brighton,Premier League,20,2004,8.3,3,14,4,28.6,1.68,0.48,0.21,0.75,15.3,0,0,0,2.1,2.1,0.15,0.9,0.9
1564,Bojan Miovski,MKD,FW,Girona,La Liga,25,1999,7.1,2,11,4,36.4,1.55,0.57,0.18,0.5,12.4,0,0,0,2.6,2.6,0.24,-0.6,-0.6
1565,Rafa Mir,ESP,"MF,FW",Valencia,La Liga,27,1997,3.3,0,9,0,0,2.7,0,0,0,13.8,0,0,0,1.1,1.1,0.12,-1.1,-1.1
1566,Juan Miranda,ESP,DF,Bologna,Serie A,25,2000,13.3,0,11,3,27.3,0.83,0.23,0,0,28.3,3,0,0,0.3,0.3,0.03,-0.3,-0.3
1567,Fabio Miretti,ITA,"MF,FW",Genoa,Serie A,21,2003,11.5,1,15,3,20,1.3,0.26,0.07,0.33,20.5,1,0,0,1.6,1.6,0.11,-0.6,-0.6
1568,Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,25,1999,22.3,0,7,2,28.6,0.31,0.09,0,0,12.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5
1569,Kaoru Mitoma,JPN,"FW,MF",Brighton,Premier League,27,1997,20.5,5,39,16,41,1.9,0.78,0.13,0.31,14.5,0,0,0,5.1,5.1,0.13,-0.1,-0.1
1570,Maximilian Mittelstädt,GER,DF,Stuttgart,Bundesliga,27,1997,14.5,1,12,3,25,0.83,0.21,0.08,0.33,22.9,0,0,0,0.6,0.6,0.05,0.4,0.4
1571,Koji Miyoshi,JPN,"MF,FW",Bochum,Bundesliga,27,1997,4.5,1,10,4,40,2.21,0.88,0.1,0.25,22.4,0,0,0,0.9,0.9,0.09,0.1,0.1
1572,Henrikh Mkhitaryan,ARM,MF,Inter,Serie A,36,1989,16.3,1,14,2,14.3,0.86,0.12,0.07,0.5,19.6,0,0,0,1.2,1.2,0.08,-0.2,-0.2
1573,Jakub Moder,POL,MF,Brighton,Premier League,25,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,Rui Modesto,ANG,DF,Udinese,Serie A,25,1999,2.6,0,1,1,100,0.39,0.39,0,0,18.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
1575,Luka Modrić,CRO,MF,Real Madrid,La Liga,39,1985,9.6,1,11,3,27.3,1.15,0.31,0.09,0.33,22.7,1,0,0,1.1,1.1,0.1,-0.1,-0.1
1576,Max Moerstedt,GER,FW,Hoffenheim,Bundesliga,0,0,3.9,0,10,4,40,2.58,1.03,0,0,12.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6
