Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
198,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,33,1992,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Botond Balogh,HUN,DF,Parma,Serie A,22,2002,17.5,0,2,0,0,0.11,0,0,0,6.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2
200,Folarin Balogun,USA,FW,Monaco,Ligue 1,23,2001,5.2,3,23,6,26.1,4.41,1.15,0.13,0.5,12.3,0,0,0,3.8,3.8,0.17,-0.8,-0.8
201,Mario Balotelli,ITA,"FW,MF",Genoa,Serie A,34,1990,0.7,0,2,0,0,2.9,0,0,0,30.5,1,0,0,0,0,0.02,0,0
202,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,34,1990,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Jonathan Bamba,CIV,"FW,MF",Celta Vigo,La Liga,28,1996,9,0,13,6,46.2,1.44,0.67,0,0,18.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8
204,Mohamed Bamba,CIV,MF,Reims,Ligue 1,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Samuel Bamba,GER,"FW,MF",Bochum,Bundesliga,20,2004,0.1,0,1,1,100,9,9,0,0,11.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
206,Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,24,2001,5.6,0,11,2,18.2,1.98,0.36,0,0,19.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7
207,Daniel Bandeira,POR,MF,Hellas Verona,Serie A,24,2000,4.5,0,2,1,50,0.44,0.22,0,0,31.1,0,0,0,0,0,0.02,0,0
208,Mattia Bani,ITA,DF,Genoa,Serie A,31,1993,12.2,0,4,2,50,0.33,0.16,0,0,11.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
209,Noahkai Banks,USA,DF,Augsburg,Bundesliga,18,2006,1.9,0,1,0,0,0.52,0,0,0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
