Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
277,Adrian Bernabe,es ESP,MF,Parma,it Serie A,23-251,2001,10.0,0,19,1,5.3,1.91,0.10,0.00,0.00,27.3,5,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
278,Marc Bernal,es ESP,MF,Barcelona,es La Liga,17-251,2007,2.7,0,2,1,50.0,0.74,0.37,0.00,0.00,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
279,Bernardo,br BRA,DF,Bochum,de Bundesliga,29-263,1995,7.8,0,2,1,50.0,0.26,0.13,0.00,0.00,7.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
280,Juan Bernat,es ESP,"DF,MF",Villarreal,es La Liga,31-337,1993,2.4,0,2,1,50.0,0.85,0.42,0.00,0.00,17.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
281,Alexander Bernhardsson,se SWE,"MF,DF",Holstein Kiel,de Bundesliga,26-146,1998,6.1,2,10,4,40.0,1.65,0.66,0.20,0.50,16.0,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches
282,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,eng Premier League,22-047,2002,19.5,0,1,0,0.0,0.05,0.00,0.00,,16.7,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
283,Matúš Bero,sk SVK,MF,Bochum,de Bundesliga,29-148,1995,15.2,3,13,5,38.5,0.85,0.33,0.23,0.60,17.1,0,0,0,1.5,1.5,0.11,+1.5,+1.5,Matches
284,Juan Berrocal,es ESP,DF,Getafe,es La Liga,25-273,1999,6.8,0,2,0,0.0,0.29,0.00,0.00,,10.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
285,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26-240,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
286,Beto,gw GNB,FW,Everton,eng Premier League,27-001,1998,3.5,1,12,4,33.3,3.41,1.14,0.08,0.25,11.4,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches
287,Sam Beukema,nl NED,DF,Bologna,it Serie A,26-076,1998,20.5,0,9,3,33.3,0.44,0.15,0.00,0.00,10.5,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
288,Alessandro Bianco,it ITA,MF,Monza,it Serie A,22-123,2002,15.0,1,17,3,17.6,1.13,0.20,0.06,0.33,21.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
289,Alessandro Bianco,it ITA,MF,Fiorentina,it Serie A,22-123,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
290,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,21-359,2003,2.0,1,8,5,62.5,4.00,2.50,0.13,0.20,13.5,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
291,Jaka Bijol,si SVN,DF,Udinese,it Serie A,25-362,1999,20.0,1,14,4,28.6,0.70,0.20,0.07,0.25,13.1,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
292,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,de Bundesliga,23-121,2001,3.5,2,14,4,28.6,4.01,1.15,0.14,0.50,15.2,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches
293,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,28-235,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
294,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,32-153,1992,4.8,1,5,2,40.0,1.04,0.42,0.20,0.50,26.2,3,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
295,Samuele Birindelli,it ITA,"DF,MF",Monza,it Serie A,25-197,1999,6.2,1,5,4,80.0,0.81,0.65,0.20,0.25,14.8,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
296,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,19-218,2005,14.8,2,25,8,32.0,1.68,0.54,0.08,0.25,22.1,1,0,0,1.0,1.0,0.04,+1.0,+1.0,Matches
297,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,28-155,1996,10.8,2,5,2,40.0,0.46,0.19,0.40,1.00,22.7,0,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches
298,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,31-044,1993,6.9,2,20,7,35.0,2.88,1.01,0.10,0.29,21.1,1,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
299,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,19-269,2005,11.6,1,3,2,66.7,0.26,0.17,0.33,0.50,6.9,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches
300,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33-328,1991,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
